Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Field8,Field4,Field7,Field6,Field5
1,Unpolarized capacitor,C,C1 C2 C3 C4 C5 C6 C8 C9 C11 C12 C13 C14,C_0.1uF,C_0805_2012Metric,12,~,,,,,
2,Unpolarized capacitor,C,C17,C_2.2uF,C_0805_2012Metric,1,~,,,,,
3,Unpolarized capacitor,C,C7 C10,C_22pF,C_0805_2012Metric,2,~,,,,,
4,,BAT60JFILM,CR1 CR2 CR3 CR4,BAT60JFILM,BAT60JFILM,4,,,,,,
5,Light emitting diode,LED,D1 D2 D3 D4 D5,LED,D_0805_2012Metric,5,~,,,,,
6,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02_Male,J8,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,1,~,,,,,
7,"Generic connector, single row, 01x07, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x07_Male,J1 J2 J3 J4,Conn_01x07_Male,PinHeader_1x07_P2.54mm_Vertical,4,~,,,,,
8,"Cortex Debug Connector, standard ARM Cortex-M SWD and JTAG interface",Conn_ARM_JTAG_SWD_10,J6,Conn_ARM_JTAG_SWD_10,PinHeader_2x05_P1.27mm_Vertical_SMD,1,http://infocenter.arm.com/help/topic/com.arm.doc.faqs/attached/13634/cortex_debug_connectors.pdf,,,,,
9,USB Type B connector,USB_B,J5 J7,USB_B,ASSMANN_AU-Y1007,2, ~,,,,,
10,"0.2A Ic, 40V Vce, Small Signal NPN Transistor, SOT-23",MMBT3904,Q1 Q2 Q3 Q4,MMBT3904,SOT-23,4,https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf,,,,,
11,Resistor,R,R20 R21 R22,R,R_0805_2012Metric,3,~,,,,,
12,Resistor,R,R6 R7 R8 R9,R_0,R_0805_2012Metric,4,~,,,,,
13,Resistor,R,R10 R14 R23,R_1K,R_0805_2012Metric,3,~,,,,,
14,Resistor,R,R1 R2 R3 R4 R5 R12 R15 R16,R_200,R_0805_2012Metric,8,~,,,,,
15,Resistor,R,R17,R_20K,R_0805_2012Metric,1,~,,,,,
16,Resistor,R,R24,R_3.2K,R_0805_2012Metric,1,~,,,,,
17,Resistor,R,R18,R_30K,R_0805_2012Metric,1,~,,,,,
18,Resistor,R,R13,R_499K,R_0805_2012Metric,1,~,,,,,
19,Resistor,R,R11,R_4K,R_0805_2012Metric,1,~,,,,,
20,Resistor,R,R19,R_7K,R_0805_2012Metric,1,~,,,,,
21,Resistor,R,RA1 RA2 RA3 RA4 RA5 RA6 RA7,28 k,R_0805_2012Metric,7,~,,,,,
22,Resistor,R,RB4,10.522k,R_0805_2012Metric,1,~,,,,,
23,Resistor,R,RB2,13.518k,R_0805_2012Metric,1,~,,,,,
24,Resistor,R,RB5,2.362k,R_0805_2012Metric,1,~,,,,,
25,Resistor,R,RB3,4.369k,R_0805_2012Metric,1,~,,,,,
26,Resistor,R,RB7,578,R_0805_2012Metric,1,~,,,,,
27,Resistor,R,RB1,6.619k,R_0805_2012Metric,1,~,,,,,
28,Resistor,R,RB6,7.844k,R_0805_2012Metric,1,~,,,,,
29,,LM324,U1 U2 U17,LM324,SOIC127P600X175-14N,3,these devices consist of four independent high-gain frequency-compensated operational amplifiers that are designed sp...,SOIC-14 Texas Instruments,Texas Instruments,LM324,None,Unavailable
30,"Timer, DIP-8/SOIC-8/SSOP-8",LM555,U3 U5 U7 U9 U11 U13 U16,LM555,SO08,7,http://www.ti.com/lit/ds/symlink/lm555.pdf,,,,,
31,,NCP1117DT33T5G,U4,NCP1117DT33T5G,NCP1117DT33T5G,1,,,,,,
32,,SN74HC02NSR,U6,SN74HC02NSR,SN74HC02NSR,1,,,,,,
33,"ARM Cortex-M0 MCU, 128KB flash, 16KB RAM, 48MHz, 2-3.6V, 51 GPIO, LQFP-64",STM32F072RBTx,U14,STM32F072RBTx,LQFP-64_10x10mm_P0.5mm,1,http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00090510.pdf,,,,,
34,"Four pin crystal, GND on pins 2 and 4",Crystal_GND24,Y1,Crystal_32MHz,OSCCC200X160X50N,1,~,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Groups:,34,,,,,,,,,,,
Component Count:,88,,,,,,,,,,,
Fitted Components:,88,,,,,,,,,,,
Number of PCBs:,1,,,,,,,,,,,
Total components:,88,,,,,,,,,,,
Schematic Version:,,,,,,,,,,,,
Schematic Date:,,,,,,,,,,,,
PCB Variant:,default,,,,,,,,,,,
BoM Date:,11/12/2019 10:54:52 AM,,,,,,,,,,,
Schematic Source:,C:\Users\tjagielski\Documents\Projects\School\Sophomore - Semester 1\POE\Final Project\Major-Lazers\Synth - Final\new_synth_transistor.sch,,,,,,,,,,,
KiCad Version:,Eeschema (5.0.1)-4,,,,,,,,,,,
