Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Field8,Field4,Field7,Field6,Field5
1,Unpolarized capacitor,C,C1 C2 C3 C4 C5 C6 C7,C_0.1uF,C_0805_2012Metric,7,~,,,,,
2,Unpolarized capacitor,C,C8,C_2.2uF,C_0805_2012Metric,1,~,,,,,
3,,BAT60JFILM,CR1 CR2 CR3 CR4,BAT60JFILM,BAT60JFILM,4,,,,,,
4,"Generic connector, single row, 01x07, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x07_Female,J1 J2 J3 J4 J5 J6,Conn_01x07_Female,PinHeader_1x07_P2.54mm_Vertical,6,~,,,,,
5,"0.2A Ic, 40V Vce, Small Signal NPN Transistor, SOT-23",MMBT3904,Q1 Q2 Q3 Q4,MMBT3904,SOT-23,4,https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf,,,,,
6,Resistor,R,R11 R12 R13,R_100K,R_0805_2012Metric,3,~,,,,,
7,Resistor,R,R1 R5 R14,R_1K,R_0805_2012Metric,3,~,,,,,
8,Resistor,R,R3 R6 R7,R_200,R_0805_2012Metric,3,~,,,,,
9,Resistor,R,R8,R_20K,R_0805_2012Metric,1,~,,,,,
10,Resistor,R,R2,R_3.2K,R_0805_2012Metric,1,~,,,,,
11,Resistor,R,R9,R_30K,R_0805_2012Metric,1,~,,,,,
12,Resistor,R,R4,R_499K,R_0805_2012Metric,1,~,,,,,
13,Resistor,R,R15,R_4K,R_0805_2012Metric,1,~,,,,,
14,Resistor,R,R10,R_7K,R_0805_2012Metric,1,~,,,,,
15,Resistor,R,RA1 RA2 RA3 RA4 RA5 RA6 RA7,28 k,R_0805_2012Metric,7,~,,,,,
16,Resistor,R,RB4,10.522k,R_0805_2012Metric,1,~,,,,,
17,Resistor,R,RB2,13.518k,R_0805_2012Metric,1,~,,,,,
18,Resistor,R,RB5,2.362k,R_0805_2012Metric,1,~,,,,,
19,Resistor,R,RB3,4.369k,R_0805_2012Metric,1,~,,,,,
20,Resistor,R,RB7,578,R_0805_2012Metric,1,~,,,,,
21,Resistor,R,RB1,6.619k,R_0805_2012Metric,1,~,,,,,
22,Resistor,R,RB6,7.844k,R_0805_2012Metric,1,~,,,,,
23,,LM324-LM324,U1 U2 U12,LM324,SOIC127P600X175-14N,3,these devices consist of four independent high-gain frequency-compensated operational amplifiers that are designed sp...,SOIC-14 Texas Instruments,Texas Instruments,LM324,None,Unavailable
24,"Timer, DIP-8/SOIC-8/SSOP-8",LM555,U3 U4 U5 U6 U7 U9 U10,LM555,SO08,7,http://www.ti.com/lit/ds/symlink/lm555.pdf,,,,,
25,,SN74HC02NSR,U11,SN74HC02NSR,SN74HC02NSR,1,,,,,,
26,,Teensy3.6-teensy,U8,Teensy3.6,Teensy35_36,1,,,,,,





Component Groups:,26
Component Count:,63
Fitted Components:,63
Number of PCBs:,1
Total components:,63
Schematic Version:,
Schematic Date:,
BoM Date:,Sat 07 Dec 2019 03:38:28 PM EST
Schematic Source:,/home/dpatel1/Documents/Academics/Major-Lazers/Teensy - Synth/new_synth_transistor.sch
KiCad Version:,Eeschema 5.0.1-33cea8e~68~ubuntu18.04.1
